                     PVKU        VBLC        CITR        IEQY        ICLL        ORLL        FWXH        WFNM        PPVD        KXOW        UOPA        OBRP        BWXW        LTEJ        VRVA        AQLK        TKBD        YONL        XOWZ        DJUI        CAXJ        XNHM        CTQY        OCUY        TIUF        RZLC        KWEU        FGIW        WMMG        UIWN        RKGX        VSQG        LXUP        DERT        MBZT        ZXYW        SAIY        OROJ        IEAD        JWSF        GKGP        YEHV        RCYK        VHXP        SRFY        XPDP        UTIS        GHVC        LNFZ        YAPJ        ZNCE        DKZX        KBAV        ZXDV        ZQOZ        QAPI        NXHZ        PTCG        PBTE        BHIP        HZJF        APAT        OBFK        OOKY        ULIE        PKLG        EDPO        JINW        QUZM        WMEX        NASL        HKXY        FSFJ        SMGK        XVZI        NTHU        EPSS        IXDU        BXPX        NCPM        DRHK        WQVB        FHNX        THSS        AKCO        UNMS        KMOK        MDDP        ZQIP        XGBR        MXXU        TXYD        IKOB        VHVP        DGIK        LADK        FYWQ        APBC        UHIF        LXQD
        OBFK          -           -           -           -           -           -           -          626          -           -           -           -           -           -           -           -           -          469         278          -           -           -           -           -           -           -           -           -           -           66         612          -           -           -           -           -           -           -           -           -           -           -           -          369          13          -           -           -           -           -           -           -           -           -           -           -           -           -           -          668          -           -           -           -           -           -           -           -           -           -           -           -           -           -           58          -          523          -          872          -           -           -           -          240          -           -           -          576          -           79          -           -           -           -          873          -           -           -           -           -   
        OOKY         597          -           -          852          -           -           -           -           -           -           -           -           -           -           -           -          537          -           -           -           -           -           -           -           -          948          -          210          -           -           -           -           -          963         274         873          34          -           61          -           -           -           -          197          -           -          617         991          -          203         828          -           -           -           -           48          -          520          -           -           -           -           -           -           -           -          937         488          -           -           -           -          621         884         343          -          568         567          -           -           -           -           -           -           -           -          745          -           -           -           -           -           -          388          -           -           -           -          867          -   
        ULIE          -           -           -          294          -           -           -           -           -           -           -           -           -           -           -           -           -           -          657         919          -          822          -           -           -           -           -           -          343          -          656          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           50          -           -           -           -          273          -           -           -           -           -           -           -           -           -           -           -           37         410         275          -           -           -           -          983          -           -           -           -           -           -           -          254          -           -           -           -           -           -          656          -           -           -           -           -           -           -          799          -           -   
        PKLG         572          -           -           -          362          -           -           -           -          731         859          -           -           -           -          837          -           -           -          432          -          345          -           -           -           94          -           -           -           -           -          331         241          -           -           -           -           -           -           -           -           -           -           -           -           -          773          -           -           -           -           -           -          543          -           -           -           -           -          434          -           -           -           -           -           -           -           -           -          151          -           -          916          -           -          512         900          -          822          -           -           -           -           -          737          -           -           -           -           -           -           -           -           -           -           -           -          815          -          190  
        EDPO          -          359          -           -           -           92          -           -           -           -           -           -           -           -           -          219         568         569          -           -           -           -           -           -           -           -          645          -           -           -           -           -          240          -           -           -           -           -           -           -           -          278          -          725         795         814          -           -           -          164          -           -           -           -           -           -          888         878          -          222         639          -           -          937          -           -           -          182         420          -           -          471          -           -           -           -           -           -           -          845          -           -           -          623          -          872          -          331         628          -           -           -           -           -           -           -          120          -           -           79  
        JINW          -          835          -          519          -          210          -           -           -           -           -           -           -           18          -           -           -           -           41          -          902         364          -           -           -           -           -           -           -           -           -           -           -           -           -          297          -           -           -           -           -           -           -           92          -           -          602          -           -           -           -           -          896         293          55          -           -           -           -           -           -          548          -          488          37          -          182          -           -           -           -           -           -           -           -           -           -           -           55          -           -           -          326          -           -          362          -           -           -           -          108          -           -           -           -           -           -          311          -           -   
        QUZM          -           -           -           -          268          -          489          -           -           -           -          870          -           -           -          679          -          131          -           -           -           -           -           -           -           -          132         162          -           -           -           -           -           -          542          -          167          -          809          -           -           -           -           -           -           65          -          300          -           -           -          793          -           -           -           -           -           -          933          -          811          -           -           -          410          -          420          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          440          -          829         180         573          -           -          955          -           -           -           -           -           92          -   
        WMEX         875          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          736          -           -           -           -           -          894          -          193          -           -           -          865          -           -           -          886          -          610          -           -          666          -           -           -          478          -           -           -          275         151          -           -           -           -           -           -           -           -           -          309          -           -          338          -          961          -           -           -           -           -           -           -           -           -           -           -           -           -          441          85          -           96          -           -   
        NASL          -           -           -           -           -           -           -           -           -           -           -           -          244         365          -           -           -           -          138          -           -          962         445          -           -           -           -           -           -           -           -          206          -           -           -           -           -           -           -           -           -          623          -           -          271          -           -           -           -           -           -           -           -           -           -          825          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          211          -          677         668         647          53          -           -           -           -           -           -          163          -           -           -           -           -           -          399          -           -          504          -           -          751          -           -   
        HKXY          -           -           -           -           -           -           -          645          -           -           -          688         747         731          -          318          -           -           -           -           -           -           -           -           -           -           -           -           -           -          168          -          165         323          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          492          -           -           -           -           -           -           -          170          -           -           -           -           -          471          -           -           -           -           -           -           -          229          -           -           -           -           -           -           -           -           -           -           -           -          725          -           -           -           -          117          -           -           -           45          -           -           -   
        FSFJ         239          -          240          -           -          789          -           -           -          201          -          637          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          904         275          -           -          224          -           -           -           -           -           -           -           -           -           -           -           -          671          -          253          -           -           -           -           -           -          106          -           -           -           -          963          -          621          -          916          -           -           -           -          211          -           -          587          -           -           -           -           -           -           -           -           -           -           -           75          -           -           -           68          -           -           -           -           -           -           -           -           -           61  
        SMGK          -           -           -          276          -          475         678          -           -           -           -           -           69          -           -          639          -           -           -           -          716          -           45          -           -           -           -           -           -           -          420          -           -           -          650          -           -          383          -           24          -           -           -           -           -          360          -           -          942          -           -           -           -           -           -          403          -          438          -          481          -           -           -          884          -           -           -           -           -           -           -           -          587          -           -           -           -           -          112          -          914          -           -           -          234          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -   
        XVZI          -           -          795          -           -           -           -           -           -           -           -           -          268          -          753          -          950          -           -           -           -           -           -           -           -           -          221          -          222          -           -           -           -           -           -           -           -           -           12         331          -           -           -          897          -           -           -          685          -          743          -           -           -          142          -           -           -          913          -           -           -           -           58         343         983          -           -           -           -           -          677         229          -           -           -          370         188         798          -           -           -           -          190          -           -           -           -           -           -           -           -          575          -          215         560          -          731          -           -           -   
        NTHU         383          61          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          320          -           -           -          275          -           -           -           -           -          685          -           -          599          -          665          -           38          -           -           -           41          -           -           -          469          -           -           -           -          656          -           -           -           -          382          -           -          809         825          47          -           -           -          237          -           -           -          512          -           -           -          309         668          -           -           -          370          -           -           -           -           -           -          645          -           -           -          778          -           -           -           -           -           -           -           -          732          -           -           -           -           -   
        EPSS          -           -           -          337         243          -           -           -           -           -           -           -          436          -           -           -          178          -           -           -           -           -           -           -          225          -          285          -           -           -           -          710          -           -           -           -           -           -           -           -           -           -           -          480          -           -           -          429          -           -           -           -           -           -           -           -           -           -           -          335          -           -          523         568          -          900          -           -           -           -          647          -           -           -          188          -           -           -           -           -           -           -           -          637          -           -           -           -           -           -           -           -           -          459          -           -           -           -          165          -   
        IXDU          -           -           -           -           -           -          777          -           -          614         312          -           -           -           95         548          -           -           -          703         970         802         200         243          -           -          583          -           -           -           -          978         450          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          191         666          -           -           -           -           -           -          441          -           -           -          567          -           -           -           -           -           -           53          -           -           -          798          -           -           -           -          691          -           -           -           -           -           -           -           -           -           -          853          -           -           72          -           -           -           -           -           -   
        BXPX          -           -           -           -          461           3          -           -           -           -           -           -           -           -           -          790          -           -           -           -           -           -          885          -           -          889          -           -           -           -          434          -          951          -           -           -          603          -           -           -           -          343          -           -           -           -           -           -           -           -           41          -           -          742          -           -           -           -           -           -           -           -          872          -           -          822          -           55          -          338          -           -           -          112          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          708          -          537         207          -           -   
        NCPM          -           -           -           -           -           -           -          161          -          856          -           -           -           -           -           -          795          -           95         432          -          509          -           -           -           -           -           -           -           -          645          -           -           -          646          -           -           -           -           -          185          -           -           -          114          -           -           -           -          760          -           -           -           -           -          756          -           -          741          -           -           -           -           -           -           -          845          -           -           -           -           -           -           -           -           -           -          691          -           -          995          -           25         466          -           -           -           -           -           -           -           -           -           -          444          -           -           -          816          -   
        DRHK          -           -           -           -          316          -           -           -           -           -           -          121          -           -           -           -           -          741          -           -           -           -           -           -           -           -           -          645          -           -          850         312          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          528          -           -           -           -           -          338          -           -           -           -           -           -           -           -           -           -          961          -           -           -          914          -           -           -           -           -          995          -           -          131          -           -          673          -          374          -          566          -           -           -           -           -          639          -           -          779          -   
        WQVB         185          -           -           -           -           -           -          748          -           -           -           -           -           -           -           -           -           -           -           -           -           78          -          400          -           -           -           -           -          119          -           -          454          -          214          -           -           -           -          836          -           -           -           -          872         300          -           48         206          -           -           -           -           -           -           -           -           -          716          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          645          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          923          -           -   
        FHNX          -           -           -          233          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          890          -           -          756          -           -          564          -          578          -           28          -           -           -           -           -           -           -          396         787          -          674          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          391          -           -           -          254          -           -          326          -           -           -           -           -           -          190          -           -           -           -           25         131          -           -          716          -           -           -           -           -           -          437         393          -           -           -           -           -           -           -           -   
        THSS          -           -           -           -           -           -           -           -           -           -           -           -          368          -           -           -           -           -           -           -           -           -          430         271          -           -          601          -          896         744          -          248          -           70          -           -          445          -           -           -           -           -           -          268          -          946          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          240          -           -           -          623          -           -           -           -           -           -           -           -           -          637          -           -          466          -           -          716          -           -           -           -           -          691          -           -           -           -           -           -           -           -           -           -           -   
        AKCO          -           -           -           -           -          184          -           -           -           -           -           -           -           -           -           22          -           -           -           -           -           -          354          -           -           -           -           -           -           -          781         906          -           -           -           -           -           -           -           -          730          -          762          -           -           -           -           -           -           -           -           -          497         277          -           -           -           -           -           -           -           -           -           -           -          737          -           -           -           -          163          -           -          234          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          833          -          434          -           -           -           -           -           -           -   
        UNMS          -           -           -           -          486          -          420          -           -           -           -           70          -           -           -           -           -           -          196          -          814         931          -          753         424          -           -           -           -           -           -           -           -           -           -           -           -           -          517          -           -           -           -           -           -          258          -           -          145         760          -           -           -          329          -           -           -          612          -          355          -          289          -           -           -           -          872         362         440          -           -           -           75          -           -          778          -           -           -           -          673          -           -           -           -           -          204          -          147          -           -          767         744          -           -           -           90         274          -           -   
        KMOK          -           -          273         467         579          -           -           -           -           -           -           -          215         372          -           -           -          814          -           -           -           -           -           -           -          250          -           -           -           -           -          294          -           -           -           -           -           -           -           -           -           -           -          106          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          456          -           -           -          745          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          204          -           -           -          517          -           -          630         175          -          940         853         994          -           -   
        MDDP         951          -          250          -           -           -           -           -           -           -           -           -           -           -           -           -          641          -           -           -           -           -           -          958          -           -           -           -          968          -          498          -          882          -           -           -           -            2          -           -           -           -          654          -           -           -           -          215          -           -           -           -           -           -          326          -           -           -           -           -           -           -          576          -           -           -          331          -          829          -           -          725          -           -           -           -           -           -           -           -          374          -           -           -           -           -           -           -          231          -           -           -           -          883          -           -          931          -           -          827  
        ZQIP          -           -           -          273          -           -           -           -           -          498          -           -           -          219          -           -           -           -           -           -          379          -           -          294          -           -          668         860         629          -           -           -           -           -           -           -          651         690         652          -           -           -           -           -           -           -           -           -           -           -          125          -           -           -           -           -          740         561          -           -           -           -           -           -           -           -          628          -          180          -           -           -           -           -           -           -           -           -           -           -           -           -           -          691          -          147          -          231          -          214         955          56          -           -           78          -           -           -           -           -   
        XGBR          -           -           -          340          -          191          -           59          -          268          -          727          -           -           -           -           -           -           -           -           -           -          689          -           -           -           -           -           -           -           -           -          839          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          298          -          366          -          616          -          527          79          -          656          -           -           -          573          -           -           -           68          -           -           -           -           -           -           -          566          -           -           -           -           -          517          -          214          -           -           -          739          -           -           -          386          -           -           -   
        MXXU          -          770          -           -           -          297          -           -           -           -           -           -           -           -           -           -           -          329          -           -           -           -           -           -           -           -           -           -          915          -           -           -          753         894          -          676          71          -           -           -          638          -           -           -           -           -          620         470          -           -          613          -           -          349          -           -           -           -           -           -          151          -           -           -           -           -           -          108          -           -           -           -           -           -           -           -           -          853          -           -           -           -          437          -          833          -           -           -          955          -           -           -           -           -           -           -           -          516          -           -   
        TXYD          -           89          -          594          -           -           -           -           -           -           -           -           -          424          -          310          -           -           -           -           -          813          -           -           -          548          -           -           -           -           -           -           -          350          -          544          -           -           -           -           -           -          455          -           -           -           -           -           -           -           -          276          -           -           -          793          -           -           -           -           -           -           -           -           -           -           -           -           -           -          399          -           -           -          575          -           -           -           -           -           -           -          393          -           -          767          -           -           56          -           -           -           -           -           -           -           -           34         345          -   
        IKOB         513          -          748          -          383          -           -           -           -           -           -           -           48          -           -           -           -           -           -           -           -           -           -           -           -          485          -           -           -           -           -           -           -           -           -          358          -           -           -           -           -           -           -           -           -           -           -           -          150         532          -           41          -           -           -          816         329         738          -           -           -           -           -           -           -           -           -           -          955          -           -          117          -           -           -           -           -           -           -           -           -           -           -           -          434         744         630          -           -          739          -           -           -           -          919          -           -          976          -           -   
        VHVP          -          456          -           -           -           -           -           -           -           -           -          150          -           -           -          687          -          400          -           -           -           -           -          904         246          -           -          220          -          296          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          403         643          -           -           -          985          -           -          770          -           -          474          -           -          388          -           -           -           -           -           -           -           -           -           -          215          -          459          72          -           -           -           -           -           -           -           -          175         883          -           -           -           -           -           -          252          -           -           -           -           -   
        DGIK          -           -          767          -           -           -           -           -          728          -           -           -          507          -           -           -          881          -          504          -           -           -           -          690          21          -           -           -           85          -           -           -          925          -          721          -           -           -           -           96          -           -          599          -           -           -           -           -          705          -           -          145          -           -           -          221          -          825         924          -           -           -          873          -           -           -           -           -           -          441         504          -           -           -          560         732          -           -          708         444          -           -           -           -           -           -           -           -           78          -           -           -          919         252          -           -           -           -           -          770  
        LADK          -          313          -           -           -           -           46          -           -           -           -           -          274          -           -          100         930          -           -          993         245          -           -           -           -           -          116         768          -           -           -          471          -           -          842         989          -           -           -           -           -           -           -           -           -          684         164          -           -           -           -           -          658          -           -           -          514         394          -           -          794          -           -           -           -           -           -           -           -           85          -           -           -           -           -           -           -           -           -           -          639          -           -           -           -           -          940          -           -           -           -           -           -           -           -           -          504          -           -           -   
        FYWQ          -           -          746         450          -           -          805         786          -           -          895          -           -           -           -           -           -           -           -           -           -          999          -           -           -           -           -           -           -          902          -          750          -           -           -           -          897          -          188         253         323          -           -           -           -           -           -           -           -          281          -           -           -           -           -           -           -          596          -           -           -          121          -           -           -           -          120          -           -           -           -           45          -           -          731          -           -           -          537          -           -           -           -           -           -           90         853         931          -          386          -           -           -           -           -          504          -           -          119          -   
        APBC          17          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          923          -           -           -           -          919          -           -           -           -           -           -           -           -           -           -          683          -           -          788          -           -           -           -           -          951          -           -          568          -           -           -           -           -           -           -           -           -           -           -           -          594          -           -          682          -           -           -          799         815          -          311          -           96         751          -           -           -           -           -           -           -          207          -           -          923          -           -           -          274         994          -           -           -          516          34         976          -           -           -           -           -           -           -   
        UHIF          -           -           -           -           -           -           -           -           -           -           80          -          242          -           -          707          -           -           -           -           -           -           -           -           -           -          464          -           -           -           -           -           -          766         729          -           -           -           -           -          299          -           -           -           -           82          -          598          -           -           -           -           -          812          -           -           -           -           -          373          -           -           -          867          -           -           -           -           92          -           -           -           -           -           -           -          165          -           -          816         779          -           -           -           -           -           -           -           -           -           -          345          -           -           -           -          119          -           -           -   
        LXQD          -           -           -           -           -           -          359          -           -           -           -           -          832          -           -           86          -           -           -           -          919          -           -           -          448          -          530          -           -           -           -           -           -           -           -           -           -           -          620          -           -           -           -            1          -          227          -           -           -           -           -           -           -           -           -           -           -           -           -           -          930          -           -           -           -          190          79          -           -           -           -           -           61          -           -           -           -           -           -           -           -           -           -           -           -           -           -          827          -           -           -           -           -           -          770          -           -           -           -           -   
